dataset,cell_type_full,consensus_label,original_label,reannotation_type,predicted_label,pred_confidence,set_size_naive,set_size_structure,pattern
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9990261090386067,0,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9998408819215524,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Macrophages,Misannotated,Macrophages,0.6939246002222431,3,2,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.7658216090162183,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9995280290160844,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9954969713468453,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar type 1 fibroblast cell,Fibroblasts,Myofibroblasts,Misannotated,Fibroblasts,0.9997988777092754,1,1,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9983629384018865,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9801351482391965,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.7644532257791276,2,2,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9979969745857841,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9240083151770037,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.8144056318121041,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9976568088022765,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,"CD8-positive, alpha-beta T cell",T cell lineage,Monocytes,Misannotated,T cell lineage,0.999430187507136,1,1,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.944912130642181,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,epithelial cell of lower respiratory tract,Secretory,Secretory,Misannotated,Secretory,0.6493712645730809,2,3,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.6499497188623083,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Macrophages,Misannotated,Monocytes,0.7961706055487332,2,1,B_catches_correction
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9951642003761206,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9967066737093797,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.994678728314759,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.897859071082902,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,CD1c-positive myeloid dendritic cell,Dendritic cells,Dendritic cells,Misannotated,Dendritic cells,0.9995691188781074,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar type 1 fibroblast cell,Fibroblasts,Myofibroblasts,Misannotated,Fibroblasts,0.9999791606107887,1,1,B_catches_correction
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9935528541785555,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9979220171484926,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9980556417851292,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Macrophages,Misannotated,Macrophages,0.981591313616867,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,CD1c-positive myeloid dendritic cell,Dendritic cells,Dendritic cells,Misannotated,Dendritic cells,0.9993776196471379,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9995155639664488,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9951330441779873,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9689687562278807,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9914480330124322,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9980103269266786,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9932576323965254,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9498699021858887,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.7942256534463203,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,multiciliated columnar cell of tracheobronchial tree,Multiciliated lineage,Secretory,Misannotated,Multiciliated lineage,0.9615205148558269,1,1,B_catches_correction
Banovich_Kropski_2020,pulmonary alveolar type 1 cell,AT1,AT2,Misannotated,AT1,0.5171995609531026,3,3,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9985392786637219,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9996167801109249,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,epithelial cell of lower respiratory tract,Secretory,Secretory,Misannotated,Basal,0.6627115311258918,2,2,C_predicts_something_else
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9842376966142472,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.6628298013405014,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,CD1c-positive myeloid dendritic cell,Dendritic cells,Dendritic cells,Misannotated,Dendritic cells,0.9997375506019112,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9983462650094872,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,T cell lineage,Misannotated,Macrophages,0.6565291194863747,3,3,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9992486786984769,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9977668780187733,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9998592069603773,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.716046441388665,1,2,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9926670006917483,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Dendritic cells,Misannotated,Macrophages,0.7823738680643937,1,2,B_catches_correction
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Macrophages,Misannotated,Macrophages,0.8310058392427437,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9994182091259672,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,"CD4-positive, alpha-beta T cell",T cell lineage,Monocytes,Misannotated,T cell lineage,0.9917611473426394,1,1,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9993339669502682,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9994983237831705,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,vein endothelial cell,EC venous,EC capillary,Misannotated,EC venous,0.7355722109317562,2,2,B_catches_correction
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9998671031328392,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,epithelial cell of lower respiratory tract,Secretory,Secretory,Misannotated,Secretory,0.998582080934575,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.9275690020507971,1,1,B_catches_correction
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9995753236703,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,"CD8-positive, alpha-beta T cell",T cell lineage,Monocytes,Misannotated,T cell lineage,0.984243825019589,1,1,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.9841953401257028,0,1,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.8512838849535621,1,2,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.7874361850880645,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,multiciliated columnar cell of tracheobronchial tree,Multiciliated lineage,Secretory,Misannotated,Multiciliated lineage,0.9941435139465542,1,1,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9975301118581799,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9724628082181612,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,CD1c-positive myeloid dendritic cell,Dendritic cells,Dendritic cells,Misannotated,Dendritic cells,0.983541790542167,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,"CD4-positive, alpha-beta T cell",T cell lineage,Monocytes,Misannotated,T cell lineage,0.9996546779790425,1,1,B_catches_correction
Banovich_Kropski_2020,pulmonary alveolar type 1 cell,AT1,AT2,Misannotated,AT1,0.8601593154090981,2,1,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9995862974710907,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Lymphatic EC mature,0.9708285049504028,1,1,C_predicts_something_else
Banovich_Kropski_2020,elicited macrophage,Macrophages,Monocytes,Misannotated,Monocytes,0.854267500769471,1,2,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar adventitial fibroblast,Fibroblasts,Fibroblasts,Misannotated,Fibroblasts,0.9999996445430237,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9078471510019946,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9549059543775679,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9830218221296465,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9896115231608686,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9985789165098018,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,epithelial cell of lower respiratory tract,Secretory,Secretory,Misannotated,Secretory,0.5771295483838751,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.999005196366772,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9106008527277902,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9406391430046143,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar adventitial fibroblast,Fibroblasts,Fibroblasts,Misannotated,Fibroblasts,0.9272732777869077,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9972396181014953,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9921940161598456,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9984047514091307,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar adventitial fibroblast,Fibroblasts,Fibroblasts,Misannotated,Fibroblasts,0.9999934172313598,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Dendritic cells,Misannotated,Monocytes,0.4130052151110216,2,3,B_catches_correction
Banovich_Kropski_2020,alveolar adventitial fibroblast,Fibroblasts,Myofibroblasts,Misannotated,Fibroblasts,0.9977344217935165,1,0,B_catches_correction
Banovich_Kropski_2020,epithelial cell of lower respiratory tract,Secretory,Secretory,Misannotated,Basal,0.8354008282566721,1,1,C_predicts_something_else
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9977215460387016,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.6569739094901615,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,epithelial cell of lower respiratory tract,Secretory,Secretory,Misannotated,Basal,0.6958375859717111,2,2,C_predicts_something_else
Banovich_Kropski_2020,epithelial cell of lower respiratory tract,Secretory,Secretory,Misannotated,Secretory,0.7031686648822972,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9997143147396533,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,epithelial cell of lower respiratory tract,Secretory,AT1,Misannotated,Multiciliated lineage,0.5367592208621748,3,3,C_predicts_something_else
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9793967990074501,1,0,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.9848667745573465,1,1,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9946162882878617,0,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9988894589277859,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9984794350350318,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9897909073708544,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9261347979953436,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.9561649265376888,1,1,B_catches_correction
Banovich_Kropski_2020,multiciliated columnar cell of tracheobronchial tree,Multiciliated lineage,Secretory,Misannotated,Multiciliated lineage,0.9995071297852531,1,1,B_catches_correction
Banovich_Kropski_2020,fibroblast,Fibroblasts,Myofibroblasts,Misannotated,Fibroblasts,0.9964044670350558,1,1,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9949108192316619,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,CD1c-positive myeloid dendritic cell,Dendritic cells,Macrophages,Misannotated,Monocytes,0.49442406511983755,2,3,C_predicts_something_else
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9996685241997324,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Macrophages,Misannotated,Monocytes,0.889494733845357,2,1,B_catches_correction
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.999411190546669,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9965522482456536,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9953306258299255,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9996144806267552,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9990467793015619,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9952863069149667,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9893895632780262,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9927672908910452,0,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.989075136314681,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9981680821140078,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,AT2,Misannotated,Macrophages,0.9511149967936489,1,1,B_catches_correction
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.9966548989281997,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,CD1c-positive myeloid dendritic cell,Dendritic cells,Monocytes,Misannotated,Monocytes,0.5704963806980854,2,2,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9825426669652394,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9948099096232532,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.8675980027013497,1,2,A_matches_original_wrong_label
Banovich_Kropski_2020,epithelial cell of lower respiratory tract,Secretory,Secretory,Misannotated,Basal,0.9658556876429468,1,1,C_predicts_something_else
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.960442309756013,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.998667888312287,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,capillary endothelial cell,EC capillary,EC capillary,Misannotated,EC capillary,0.978051619066498,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9993547367138211,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar type 1 fibroblast cell,Fibroblasts,Myofibroblasts,Misannotated,Fibroblasts,0.999999528308154,1,1,B_catches_correction
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9980476457977744,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,alveolar macrophage,Macrophages,Monocytes,Misannotated,Macrophages,0.9977553980413318,1,1,B_catches_correction
Banovich_Kropski_2020,lung macrophage,Macrophages,Macrophages,Misannotated,Dendritic cells,0.871569478864132,1,1,C_predicts_something_else
Banovich_Kropski_2020,elicited macrophage,Macrophages,Macrophages,Misannotated,Macrophages,0.9597528294082102,1,1,A_matches_original_wrong_label
Banovich_Kropski_2020,non-classical monocyte,Monocytes,Monocytes,Misannotated,Monocytes,0.9850564661478198,1,1,A_matches_original_wrong_label
